X,Y,Z,VX,VY,VZ
     12.09,      10.32,     -17.28,     152.45,     129.91,    -217.17 
      8.53,      -9.34,      -8.66,     109.29,    -118.87,    -110.56 
      2.50,       6.21,       3.84,      31.41,      79.97,      50.10 
     -6.69,      13.02,       9.31,     -85.10,     163.95,     118.15 
      6.05,      -3.83,      -5.40,      77.12,     -46.19,     -72.13 
      6.94,      -9.37,     -16.93,      88.14,    -117.99,    -212.92 
     10.56,       7.48,      -7.72,     131.42,      93.65,     -96.45 
      9.57,      -2.99,       8.57,     122.12,     -38.61,     110.77 
     -7.17,       7.14,      -3.57,     -91.00,      91.68,     -43.90 
      1.00,       9.68,     -14.31,      13.42,     122.18,    -180.08 
    -14.60,       1.14,      -0.76,    -182.16,      14.35,     -10.18 
    -11.18,       7.01,      -9.47,    -141.65,      88.85,    -119.64 
     -8.14,       0.72,      -7.36,    -104.43,       9.58,     -94.46 
     -9.22,     -12.56,      -3.61,    -115.28,    -157.30,     -45.72 
      1.31,       2.43,       0.92,       4.23,      36.95,      -2.51 
     12.72,      -5.08,     -15.65,     160.90,     -63.98,    -197.18 
      2.70,      10.77,      -5.90,      35.29,     139.42,     -72.52 
     11.46,      13.38,      -2.42,     143.34,     166.12,     -29.64 
     -4.98,      -6.19,       6.96,     -66.08,     -80.03,      90.64 
     -9.56,       7.67,     -11.33,    -120.86,      96.91,    -142.50 
    -10.10,       7.24,      -1.67,    -128.88,      92.11,     -21.76 
      2.59,       7.54,     -10.63,      32.68,      96.72,    -136.68 
      3.87,      12.46,      -8.98,      47.10,     157.26,    -114.36 
     -3.32,      13.13,     -10.80,     -42.61,     165.03,    -136.57 
     12.45,      14.54,     -18.35,     156.89,     182.04,    -229.47 
     -2.62,      -4.83,       8.03,     -31.18,     -60.56,     103.14 
      5.48,       0.13,      11.52,      69.69,       0.60,     143.11 
     -5.03,       3.69,     -17.62,     -63.83,      45.01,    -222.09 
      6.11,      -6.92,       5.63,      78.57,     -90.25,      74.50 
      3.48,       5.63,      -5.03,      48.15,      73.17,     -67.06 
     14.78,      -9.41,      -2.60,     186.38,    -118.57,     -33.09 
    -21.80,     -13.78,      -1.44,    -272.55,    -173.42,     -16.83 
     -2.80,       4.69,      12.23,     -35.30,      59.56,     154.96 
    -10.13,       9.91,      -7.64,    -125.12,     123.78,     -95.32 
     -2.63,       8.69,       7.54,     -33.98,     110.83,      96.35 
      0.66,      17.53,      -8.24,       6.99,     194.09,     -87.77 
    -11.29,     -10.37,       0.70,    -143.35,    -131.13,       9.97 
      8.95,      -9.66,     -16.61,     113.21,    -121.26,    -208.90 
     -5.06,      16.01,      -3.83,     -62.18,     199.02,     -48.01 
      3.51,      -5.60,       2.79,      42.63,     -75.27,      38.34 
     -3.46,      -9.34,      -7.00,     -44.75,    -119.40,     -90.15 
     -5.98,     -13.63,       7.66,     -76.87,    -172.72,      97.37 
    -13.63,      -8.46,       6.34,    -170.90,    -106.67,      79.33 
      0.71,      -3.93,      -0.25,      15.93,     -46.43,       1.23 
     10.19,     -11.40,      -0.55,     130.56,    -145.22,      -8.07 
     -5.41,       4.22,      -3.97,     -73.91,      58.13,     -51.58 
     -6.99,       5.78,      -7.11,     -90.61,      75.18,     -92.28 
      3.95,       1.65,       7.48,      42.38,      23.08,      99.89 
     -5.73,       9.92,     -16.70,     -72.47,     124.82,    -209.85 
     -5.02,      -1.08,      -2.83,     -60.41,      -9.15,     -43.11 
      2.16,     -11.71,       8.04,      27.87,    -149.47,     102.56 
     13.64,      -6.29,       6.19,     170.41,     -78.65,      77.15 
      7.94,      -6.99,       8.59,     101.44,     -90.10,     110.26 
     11.57,      -5.63,      15.35,     145.00,     -70.54,     191.71 
     13.85,      11.83,       0.43,     175.56,     149.66,       6.16 
     -7.83,     -11.07,       1.84,     -99.64,    -139.93,      25.39 
     18.11,       1.45,     -11.97,     227.54,      18.08,    -150.33 
     -9.42,      13.73,       0.44,    -109.28,     231.79,      -8.87 
     -9.11,     -16.04,       0.15,    -114.10,    -200.71,       2.23 
     -7.33,       3.90,     -12.20,     -92.38,      48.82,    -152.54 
    -12.02,      13.27,       4.49,    -150.47,     166.28,      57.19 
     10.94,      -4.26,     -19.03,     137.41,     -53.93,    -238.56 
     -8.64,      -1.44,       0.38,    -109.98,     -21.58,       1.03 
     -5.54,      -6.95,       6.58,     -73.71,     -88.66,      84.62 
     10.32,       1.71,     -16.20,     130.30,      21.77,    -204.31 
     11.07,      13.91,       2.20,     138.93,     174.78,      28.97 
     -6.34,      -0.11,     -10.39,     -82.15,      -4.50,    -131.70 
     -9.23,      11.88,      -8.20,    -114.56,     148.46,    -102.46 
     -9.61,       1.12,     -11.30,    -119.70,      13.89,    -141.56 
     -2.56,      11.25,     -11.21,     -32.19,     142.16,    -141.70 
    -16.50,       8.46,      -0.99,    -206.48,     105.69,     -12.63 
     -2.57,      -7.24,     -10.46,     -31.21,     -92.18,    -132.01 
    -11.22,     -12.11,      -0.94,    -142.14,    -153.00,     -12.31 
      8.98,       6.82,      -8.81,     113.74,      86.85,    -111.81 
     -6.10,      -3.37,      -6.05,     -78.90,     -45.42,     -78.71 
      9.21,       6.15,      -9.10,     118.03,      78.05,    -115.88 
     -6.00,       4.37,      -4.69,     -79.39,      60.31,     -61.03 
     -2.20,     -12.79,      -6.80,     -28.23,    -162.28,     -85.56 
      7.35,       9.10,      13.50,      93.91,     115.22,     170.87 
     -6.62,      -6.06,      16.73,     -82.74,     -75.82,     209.29 
      2.85,     -15.31,       2.80,      36.72,    -190.83,      34.64 
      3.46,       3.63,       7.14,      42.85,      45.92,      95.22 
     10.80,      11.35,       0.46,     124.28,     129.12,      -1.26 
      3.40,       5.56,     -21.67,      42.82,      69.26,    -271.57 
     -4.03,       4.88,       8.26,     -53.83,      65.25,     107.07 
     -3.11,      -3.88,      -4.31,     -37.91,     -51.93,     -61.18 
     13.93,      -6.92,      10.91,     174.77,     -87.00,     137.64 
     -2.08,      13.09,       6.00,     -28.08,     166.07,      76.59 
      8.98,       6.97,      -8.71,     115.38,      89.45,    -112.90 
      1.01,      -0.74,      -1.13,       8.68,      -9.96,      -6.27 
     -7.52,      12.97,       2.38,     -93.57,     162.37,      30.33 
     -8.20,      12.96,       8.17,    -103.62,     164.10,     103.47 
     -7.37,       4.19,       9.19,     -92.85,      54.06,     117.01 
     -1.09,       9.67,      -0.30,      -8.89,      99.32,      -3.43 
     -5.83,      12.19,      -6.34,     -76.59,     154.36,     -82.09 
      4.14,       5.01,      -4.98,      53.07,      67.06,     -64.95 
     -3.39,      16.96,     -13.68,     -42.30,     212.62,    -171.44 
     -9.33,      11.91,       6.42,    -116.85,     148.77,      79.92 
     10.70,     -12.27,       1.83,     135.57,    -156.23,      23.67 
     -8.09,      -6.39,       9.59,    -103.29,     -82.07,     121.46 
      6.02,       3.99,     -22.48,      75.27,      49.35,    -280.91 
      1.48,       0.28,      -8.35,      21.54,       2.31,    -106.43 
      3.07,      -3.66,       9.09,      38.82,     -46.59,     115.71 
     15.51,       9.12,      -5.90,     195.79,     115.51,     -74.18 
     11.46,      -2.85,     -12.54,     143.63,     -36.28,    -156.31 
     -5.52,      15.38,       6.57,     -68.39,     193.65,      83.57 
      8.86,     -20.31,      -9.22,     109.84,    -254.78,    -117.77 
      0.16,     -10.63,       7.52,       3.21,    -136.86,      96.30 
    -10.13,      -6.34,     -12.21,    -126.39,     -79.73,    -153.68 
    -10.29,      10.86,       3.74,    -128.46,     131.19,      46.28 
      7.86,       9.25,       0.13,     101.33,     119.58,       2.19 
     -4.26,      -0.32,       9.95,     -48.03,       0.15,     106.61 
    -15.18,       2.22,       7.90,    -190.41,      27.63,     100.06 
      9.57,       4.00,     -10.05,     122.71,      52.04,    -127.97 
     -0.42,      -7.92,       0.68,      -4.72,     -97.69,       8.57 
     -7.62,       4.64,      -5.05,     -94.43,      58.46,     -63.00 
     -0.21,      -1.07,       2.23,     -11.96,     -17.50,      20.24 
     11.42,     -15.18,      -7.89,     143.15,    -189.45,     -98.76 
    -13.05,     -14.74,       6.72,    -163.21,    -184.71,      84.83 
     -2.39,      -2.51,      -4.04,     -34.20,     -40.80,     -55.61 
     -7.83,     -20.42,       2.98,     -97.19,    -255.94,      37.44 
      3.10,       0.39,      -1.56,      41.90,       4.91,     -25.40 
      4.45,      -6.90,      -4.02,      58.07,     -83.93,     -54.20 
     -5.45,       4.86,       5.34,     -72.49,      63.34,      71.07 
     -5.48,      -7.83,      -6.53,     -68.17,     -96.88,     -81.28 
     -7.13,      -2.34,      -5.82,     -92.20,     -33.24,     -76.30 
     -1.39,      -7.95,      15.76,     -17.75,    -101.23,     198.94 
      2.86,       5.43,      -1.93,      34.50,      69.93,     -21.99 
    -10.55,       4.89,       5.73,    -133.30,      63.31,      71.77 
     -4.85,      -2.13,      -7.85,     -59.61,     -26.57,     -96.80 
      4.35,       4.20,       2.61,      63.15,      55.65,      35.13 
     -3.26,      11.00,     -10.81,     -41.90,     139.72,    -137.61 
    -15.55,       5.35,       6.50,    -194.91,      67.59,      82.28 
     -8.60,      15.37,       5.96,    -107.41,     191.58,      74.79 
     -4.97,       3.67,     -13.78,     -62.94,      45.71,    -172.69 
     -4.61,       9.16,     -13.02,     -59.15,     115.59,    -163.81 
      5.77,       9.19,       6.35,      75.47,     117.65,      82.70 
     -9.56,     -10.82,       1.85,    -118.51,    -135.38,      23.34 
     -6.56,      -3.37,      -7.93,     -85.80,     -46.12,    -102.31 
     10.51,      14.24,       6.67,     134.79,     179.61,      83.84 
     -6.41,      -7.65,     -16.08,     -80.72,     -95.64,    -202.45 
     -1.53,       6.69,      -6.88,     -21.14,      87.23,     -89.75 
     -5.62,     -14.76,       1.38,     -73.18,    -186.51,      18.26 
     16.44,     -18.56,       6.50,     206.48,    -232.82,      81.62 
    -11.28,       3.86,      -8.80,    -142.76,      50.08,    -112.26 
     -5.24,      -8.73,      10.73,     -67.07,    -110.47,     136.06 
      5.79,      -5.49,      -6.40,      75.45,     -72.58,     -82.73 
    -11.10,       0.28,       9.01,    -141.37,       4.07,     115.33 
      8.48,     -11.40,      -3.79,     108.55,    -144.62,     -49.77 
      1.12,      -5.29,       4.99,      16.09,     -71.33,      67.51 
      4.62,     -17.66,       6.61,      59.08,    -222.57,      82.99 
      3.66,      -4.49,      -3.44,      45.84,     -55.87,     -42.56 
     -6.01,       4.21,      18.28,     -74.79,      52.66,     228.66 
     -1.92,      12.55,     -10.91,     -22.28,     158.30,    -138.49 
     -6.20,      -4.50,      -5.61,     -81.49,     -58.24,     -73.64 
      7.17,      -3.72,       8.42,      92.63,     -48.05,     108.74 
    -11.31,     -21.56,      -9.68,    -139.68,    -271.01,    -121.85 
     -3.90,     -11.98,      -5.96,     -49.70,    -151.83,     -74.89 
     -8.33,      -8.24,       6.35,    -106.74,    -105.58,      81.26 
     -5.55,       1.13,     -16.93,     -70.09,      14.97,    -212.94 
    -12.70,      -3.40,     -18.58,    -159.22,     -43.39,    -233.59 
      0.90,       9.89,       1.55,       8.28,     126.39,      22.00 
      3.82,     -13.76,      -2.64,      48.27,    -171.58,     -33.75 
     -1.61,      10.11,      -4.35,     -20.24,     125.86,     -54.16 
     -5.88,      -6.59,       4.22,     -76.49,     -86.53,      55.48 
     -3.36,       0.77,      11.01,     -43.19,       9.23,     139.81 
     16.19,      14.07,      -2.59,     203.70,     177.07,     -32.73 
      1.35,      15.95,      12.55,      17.11,     199.85,     158.05 
     -6.53,       0.87,     -18.66,     -80.93,      10.82,    -233.01 
     -6.54,       4.79,     -16.67,     -82.47,      59.87,    -209.05 
     -5.40,      -7.75,     -19.28,     -66.82,     -97.44,    -241.57 
     14.61,       3.65,     -11.40,     185.26,      46.17,    -144.24 
      2.69,       0.27,      21.04,      33.61,       3.94,     263.38 
      7.17,       7.14,       3.68,      93.56,      93.12,      50.05 
    -12.87,     -11.56,       0.24,    -161.25,    -145.50,       1.48 
    -10.23,     -20.93,      -3.38,    -127.32,    -262.01,     -42.87 
      6.17,      -6.23,      -4.79,      80.60,     -81.57,     -64.37 
      9.28,       9.77,      -0.13,     118.48,     125.66,      -1.22 
     13.98,      -4.96,     -12.41,     177.38,     -62.86,    -157.54 
      3.33,       3.56,      -2.42,      45.90,      50.77,     -35.64 
     17.37,       4.05,     -12.94,     218.81,      50.94,    -162.76 
      7.28,     -13.02,      -7.10,      92.98,    -164.94,     -90.93 
    -17.30,     -12.12,      -0.39,    -215.83,    -151.11,      -4.31 
     15.03,       6.76,      -3.96,     189.04,      84.07,     -51.76 
      8.93,      -4.25,      18.60,     112.41,     -52.61,     233.39 
      5.67,       1.87,       0.09,      56.27,      29.06,       9.07 
     -2.30,      -2.49,      -2.83,     -39.63,     -30.11,     -39.18 
     -8.24,       7.53,      12.03,    -100.97,      87.52,     140.08 
      7.90,      23.63,      -1.29,      99.40,     295.76,     -16.69 
    -10.19,       3.79,     -11.17,    -126.25,      50.57,    -140.92 
    -12.66,      -4.83,      -8.64,    -159.94,     -61.24,    -109.50 
      7.40,     -16.76,      14.47,      93.09,    -209.48,     180.66 
    -12.22,       1.00,       9.38,    -152.83,      13.89,     118.08 
      0.06,     -11.54,       8.27,      -1.01,    -147.16,     106.58 
     13.18,     -10.48,     -10.83,     166.74,    -132.00,    -136.64 
      7.97,      -4.13,     -11.13,     102.29,     -50.79,    -141.47 
    -18.72,       3.29,       7.28,    -234.04,      40.99,      90.81 
     -9.13,     -15.56,      -4.99,    -115.25,    -195.46,     -63.95 
     16.56,      -2.32,      10.78,     207.94,     -29.21,     136.11 
      5.99,       0.11,      11.96,      77.63,       3.80,     151.72 
      2.94,       2.74,      -3.90,      36.19,      19.35,     -50.51 
     -0.30,     -16.77,       5.37,      -2.59,    -212.02,      67.38 
      5.93,      -2.45,      20.76,      74.68,     -30.60,     260.34 
      5.85,     -18.22,      -5.28,      74.43,    -228.77,     -67.53 
     -8.22,       1.14,      -6.84,    -106.34,      16.35,     -88.13 
     -4.48,      10.14,      -6.50,     -58.90,     129.47,     -82.12 
      2.33,      -4.02,     -15.28,      30.24,     -50.91,    -193.47 
     -3.84,      -1.46,       2.97,     -48.67,     -28.13,      41.94 
      1.60,      -3.73,     -17.64,      19.50,     -48.10,    -222.27 
     -4.90,     -16.58,       4.81,     -60.99,    -208.18,      60.72 
     -2.03,     -12.98,      12.03,     -25.51,    -163.39,     152.60 
     -1.89,       5.54,       6.56,     -23.49,      67.72,      89.30 
     -8.84,       8.69,       4.07,    -111.00,     109.08,      52.60 
    -11.59,      -4.83,     -12.63,    -145.40,     -61.46,    -159.40 
     11.17,     -14.59,      10.65,     140.58,    -182.58,     134.28 
     -4.22,      -5.72,     -18.24,     -53.09,     -71.87,    -230.23 
      6.59,      18.07,       7.40,      82.75,     226.30,      92.94 
     -5.34,       0.51,      15.71,     -67.74,       5.91,     199.03 
     16.94,      -2.50,      14.73,     213.32,     -31.11,     185.75 
     -2.17,      10.50,       6.43,     -27.07,     130.47,      80.07 
    -10.33,      -8.88,       3.87,    -131.06,    -112.68,      49.93 
     -5.98,       9.78,      -9.84,     -77.40,     124.08,    -124.74 
    -12.66,       0.01,      -4.79,    -160.26,       1.74,     -62.45 
    -13.33,      -5.25,      10.81,    -166.74,     -65.68,     135.91 
     -7.99,      12.96,      -4.94,    -101.80,     163.34,     -61.75 
     13.94,      -8.93,      -3.44,     177.02,    -112.82,     -43.44 
      8.89,       3.21,      -1.32,     115.01,      39.04,     -16.24 
     -4.13,       9.97,       0.24,     -54.38,     126.90,       3.58 
      7.17,      -7.75,      -6.18,      92.21,     -99.73,     -79.30 
     -3.61,       2.48,      -0.52,     -34.84,      38.98,      -6.22 
      8.22,       8.63,      -1.05,     106.27,     110.73,     -13.97 
      5.96,     -14.70,      11.82,      75.18,    -184.93,     148.88 
     16.75,     -10.89,      -4.89,     210.55,    -136.48,     -61.73 
     -6.56,      12.61,       1.40,     -82.56,     159.30,      18.21 
      8.74,       8.03,      -5.42,     111.65,     102.87,     -69.76 
      1.66,      -5.37,      -1.04,      20.12,     -71.39,     -14.58 
      1.54,      -0.74,      -2.19,       4.40,     -12.80,     -31.68 
      2.47,     -22.08,       4.80,      31.82,    -276.14,      60.16 
     -4.03,      12.29,       3.66,     -52.37,     156.03,      46.09 
     -8.53,       2.36,      -7.70,    -110.53,      31.45,     -99.98 
      7.14,      14.46,      11.89,      90.43,     181.49,     149.62 
     -7.46,       5.19,       5.23,     -96.54,      69.21,      69.02 
     -7.91,      -0.63,      -9.11,     -97.58,      -7.70,    -112.93 
    -11.39,       2.38,      -4.23,    -145.32,      30.44,     -54.46 
     -5.32,       3.55,      -4.01,     -63.87,      44.40,     -50.03 
     -5.14,      -1.56,      -6.60,     -64.59,     -19.58,     -81.69 
     -8.71,      12.98,      -7.86,    -110.30,     162.93,     -98.88 
     -4.44,      -3.29,     -16.02,     -55.60,     -41.46,    -200.64 
    -11.19,      -1.32,      -0.24,    -142.62,     -18.83,      -3.08 
      2.44,     -10.20,     -20.81,      31.04,    -127.97,    -260.74 
     -0.28,      14.04,      11.22,      -3.59,     176.61,     141.14 
     -1.27,       7.96,     -20.28,     -15.49,      99.62,    -254.30 
     10.03,      -7.83,       5.23,     127.61,     -99.58,      66.60 
    -12.43,       8.51,       3.44,    -153.64,     106.84,      45.67 
     15.70,       1.65,      10.90,     196.43,      20.81,     135.58 
     -9.18,     -16.98,       6.25,    -114.44,    -212.78,      78.59 
     -4.12,      -7.53,       9.23,     -53.64,     -96.33,     118.12 
     14.32,      -1.24,      10.70,     181.17,     -15.21,     135.31 
      4.91,       7.33,     -14.50,      63.06,      92.61,    -182.76 
     -5.50,      -1.69,       4.49,     -67.21,     -20.80,      55.23 
     -4.35,       1.75,      -2.34,     -59.98,      24.10,     -33.71 
      3.58,       3.38,      -3.57,      48.13,      48.48,     -49.99 
     10.29,     -10.65,      -5.29,     130.97,    -134.73,     -67.11 
    -11.21,      -2.87,       0.16,    -137.96,     -35.73,       2.10 
      5.30,      -3.58,      -4.43,      69.90,     -47.89,     -56.28 
    -15.88,       5.21,      -2.47,    -198.35,      65.34,     -30.84 
     21.37,      -2.38,      -6.49,     267.56,     -30.40,     -81.35 
    -13.36,     -17.95,       0.48,    -167.58,    -224.32,       5.16 
      6.07,     -12.50,      13.81,      76.72,    -157.96,     174.14 
      6.14,      -9.98,      20.37,      77.10,    -125.30,     255.37 
     -3.01,      -7.61,       6.71,     -39.56,    -100.70,      89.15 
    -11.31,     -12.23,      11.51,    -141.65,    -153.46,     144.30 
     -9.10,       1.24,      -8.43,    -115.28,      16.34,    -107.14 
